Серия номенклатуры;Номенклатура;Вес изделия;Вес металла в изделии;Дата выпуска;Описание вставки
SP0178305;Кольцо 20-02-1400-10068;1,71;1,68;11.06.2015 0:00:00;3 Бр кр57 1.20 3/5А 0.021ct, 1 Аметист маркиз 5.00*2.50 0.026
SP0179850;Кольцо 20-02-1400-10113;1,61;1,389;15.09.2015 0:00:00;1 Бр кр57 1.80 3/5А 0.022ct, 1 Аметист овал 8.00*6.00 0.217
SP0180783;Кольцо 20-02-1400-10134;2,92;2,713;18.11.2015 0:00:00;16 Бр кр17 1.00 3/4А 0.064ct, 1 Аметист груша 8.00*6.00 0.194
SP0181616;Кольцо 20-02-1400-10183;2,22;1,805;23.12.2015 0:00:00;2 Бр кр17 1.50 2/3А 0.026ct, 1 Аметист триллион 9.00*9.00 0.410
SP0181352;Кольцо 20-02-1500-10037;2,55;2,406;22.12.2015 0:00:00;1 Бр кр17 1.00 2/3А 0.004ct, 2 Бр кр17 1.20 2/3А 0.014ct, 1 Хризолит груша 7.00*5.00 0.140
SP0181207;Кольцо 20-02-1500-10068;1,84;1,806;11.12.2015 0:00:00;3 Бр кр17 1.20 3/4А 0.021ct, 1 Хризолит маркиз 5.00*2.50 0.030
SP0179829;Кольцо 20-02-1500-10113;1,64;1,374;15.09.2015 0:00:00;1 Бр кр57 1.80 3/5А 0.022ct, 1 Хризолит овал 8.00*6.00 0.262
SU4808916;Кольцо 20-02-1500-10477;2,46;2,352;18.10.2012 0:00:00;8 Бр кр57 1.05 3/5А 0.036ct, 1 хриз ов 6.0*4.0 0.101,
SP0157581;Кольцо 20-02-1600-10113;1,52;1,288;30.04.2014 0:00:00;1 Бр кр57 1.8 3/5А 0.022ct, 1 цит ов 8.0*6.0 0.228,
SP0182025;Кольцо 20-02-1S00-10010;2,68;2,644;16.02.2016 0:00:00;12 Бр кр57 1.00 3/5А 0.048ct, 1 Топаз Swis круг 3.00 0.026,
SP0182059;Кольцо 20-02-1S00-10028;1,9;1,826;20.02.2016 0:00:00;2 Бр кр17 1.20 2/3А 0.014ct, 1 Бр кр17 1.50 2/3А 0.013ct, 2 Топаз Swis маркиз 5.00*2.50 0.069,
SP0182299;Кольцо 20-02-1S00-10037;2,35;2,194;22.03.2016 0:00:00;1 Бр кр17 1.10 2/3А 0.005ct, 2 Бр кр17 1.20 2/3А 0.014ct, 1 Топаз Swis груша 7.00*5.00 0.152
SP0182028;Кольцо 20-02-1S00-10134;2,77;2,514;16.02.2016 0:00:00;16 Бр кр17 1.00 2/3А 0.064ct, 1 Топаз Swis груша 8.00*6.00 0.243,
SP0182068;Кольцо 20-02-1S00-11717;3,25;3,132;24.02.2016 0:00:00;36 Бр кр17 1.00 2/3А 0.144ct, 1 Бр кр17 1.70 2/3А 0.018ct, 1 Топаз Swis груша 6.00*4.00 0.086,
SP0149842;Кольцо 20-02-5000-12157;2,2;2,145;15.01.2014 0:00:00;1 Из кр 4.6 3/3 0.275ct,
SP0111576;Кольцо 20-02-7000-10447;2,58;2,532;18.07.2012 0:00:00;6 Бр кр17 1.8 2/2А 0.132ct, 16 Бр кр17 1.0 2/2А 0.064ct, 1 сф кр 2.3 3/3 0.045ct
SP0155088;Кольцо 20-02-7000-10951;2,62;2,531;26.03.2014 0:00:00;1 сф ов 4.0*6.0 3/3 0.425ct, 2 Бр кр57 1.4 3/5А 0.020ct,
SP0179095;Кольцо 20-02-7000-11319;3,72;3,662;30.06.2015 0:00:00;56 Бр кр17 0.90 2/3А 0.224ct, 3 Сф круг 1.80 3/3 0.066ct
SP0160039;Кольцо 20-02-7000-12375;2,04;1,995;06.06.2014 0:00:00;16 Бр кр17 1.15 2/3А 0.096ct, 1 сф кр 3.3 3/3 0.131ct,
SP0180947;Кольцо 20-02-8000-10286;2,4;2,361;30.11.2015 0:00:00;20 Бр кр17 0.90 2/3А 0.080ct, 39 Из  круг 1.00 3/3 0.117ct
SP0153012;Кольцо 20-02-8000-11721;3,32;3,292;17.02.2014 0:00:00;21 Бр кр17 0.9 2/3А 0.084ct, 14 Из кр 1.1 3/3 0.056ct
SP0179777;Кольцо 20-02-8000-12613;1,92;1,87;14.09.2015 0:00:00;20 Бр кр17 0.90 2/3А 0.080ct, 16 Бр кр17 1.15 2/3А 0.096ct, 1 Из квадрат 3.80*3.80 3/3 0.074ct
SP0182105;Кольцо 20-02-8000-12704;3,08;3,024;03.03.2016 0:00:00;36 Бр кр17 0.90 2/3А 0.144ct, 3 Из  круг 2.50 3/3 0.135ct
SP0182093;Кольцо 20-02-8000-12705;2,47;2,416;01.03.2016 0:00:00;56 Бр кр17 0.90 2/3А 0.224ct, 1 Из  круг 2.50 3/3 0.045ct
SP0179059;Кольцо 20-02-9000-10140;1,95;1,921;30.06.2015 0:00:00;12 Бр кр57 1.35 3/5А 0.108ct, 4 Рб круг 1.35 3/3 0.036ct
SP0137207;Кольцо 20-02-9000-11784;2,12;2,035;04.07.2013 0:00:00;1 Рб ов 4.0*3.0 3/3 0.250ct, 6 Бр кр57 2.0 3/5А 0.174ct,
SP0132514;Кольцо 20-02-9000-11974;2,3;2,274;23.04.2013 0:00:00;17 Бр кр57 1.15 3/5А 0.102ct, 4 Рб кр 1.15 3/3 0.028ct
SP0160862;Кольцо 20-02-9000-12380;2,68;2,639;24.06.2014 0:00:00;3 Бр кр57 1.9 3/5А 0.075ct, 4 Рб кр 2.0 3/3 0.132ct,
SU0006693;Кольцо 21-02-1000-10973;4,47;4,463;12.11.2012 0:00:00;7 Бр кр57 1.1 3/5А 0.035ct,
SP0180769;Кольцо 21-02-1000-10981;4,35;4,345;18.11.2015 0:00:00;2 Бр кр17 1.50 2/3А 0.026ct
SP0181223;Кольцо 21-02-1300-10034;4,69;4,266;11.12.2015 0:00:00;6 Бр кр17 1.00 2/3А 0.024ct, 1 Раух-топаз октагон 9.00*7.00 0.419
SP0181785;Кольцо 21-02-1300-10138;7,27;6,429;19.01.2016 0:00:00;8 Бр кр57 1.50 3/5А 0.104ct, 1 Раух-топаз октагон 11.00*9.00 0.820
SP0180992;Кольцо 21-02-1900-10008;3,46;3,103;30.11.2015 0:00:00;6 Бр кр17 1.40 2/3А 0.060ct, 1 Агат четырехуг. 7.00*4.50 0.345,
SP0182010;Кольцо 21-02-1900-10070;6,49;6,441;09.02.2016 0:00:00;2 Бр кр17 1.80 2/3А 0.044ct, 2 Бр кр17 1.30 2/3А 0.016ct, 2 Бр кр17 1.10 2/3А 0.010ct, 1 Агат круг 10.00 0.035
SP0181357;Кольцо 21-02-1900-10072;3,66;3,596;22.12.2015 0:00:00;2 Бр кр57 1.60 3/5А 0.032ct, 2 Бр кр57 1.40 3/5А 0.020ct, 2 Бр кр57 1.30 3/5А 0.016ct, 2 Бр кр57 1.20 3/5А 0.014ct, 1 Агат четырехуг. 7.00*4.50 0.048
SP0139246;Кольцо 22-00-1000-10194;1,41;1,406;26.07.2013 0:00:00;3 Бр кр57 1.1 3/5А 0.020ct
SU122141;Кольцо 22-02-1000-10192;1,71;1,705;27.07.2012 0:00:00;3 Бр кр57 1.3 3/5А 0.024ct,
SP0183069;Кольцо 22-02-1000-10193;0,86;0,855;26.04.2016 0:00:00;3 Бр кр57 1.25 3/5А 0.023ct
SP0183070;Кольцо 22-02-1000-10194;2,72;2,714;26.04.2016 0:00:00;3 Бр кр57 1.40 3/5А 0.030ct
SP0182665;Кольцо 22-02-1000-10195;1,45;1,445;04.04.2016 0:00:00;3 Бр кр17 1.30 2/2А 0.024ct
SP0182379;Кольцо 22-02-1000-10196;1,95;1,945;22.03.2016 0:00:00;3 Бр кр17 1.30 2/3А 0.024ct
SP0162516;Кольцо 22-02-1000-10198;1,85;1,842;18.08.2014 0:00:00;5 Бр кр57 1.25 3/5А 0.038ct
SP0181412;Кольцо 22-02-1000-10199;1,2;1,189;21.12.2015 0:00:00;7 Бр кр17 1.30 2/3А 0.056ct
SP0182022;Кольцо 22-02-1000-10200;2,24;2,233;16.02.2016 0:00:00;9 Бр кр57 1.00 3/5А 0.036ct,
SP0172199;Кольцо 22-02-1000-10253;3,3;3,288;15.12.2014 0:00:00;7 Бр кр57 1.35 3/5А 0.060ct
SP0181338;Кольцо 22-02-1000-10359;0,99;0,983;22.12.2015 0:00:00;5 Бр кр17 1.20 3/4А 0.035ct
SP0172797;Кольцо 22-02-1000-10360;2,81;2,8;23.12.2014 0:00:00;5 Бр кр57 1.4 4/5А 0.050ct
SP0182368;Кольцо 22-02-1000-12714;2,99;2,943;22.03.2016 0:00:00;59 Бр кр17 0.90 2/3А 0.236ct
SP0172098;Кольцо 22-12-1000-10253;2,85;2,84;15.12.2014 0:00:00;7 Бр кр57 1.2 3/5А 0.049ct
SP0181248;Подвеска 50-02-1000-10022;1,59;1,581;14.12.2015 0:00:00;2 Бр кр17 1.20 2/3А 0.014ct, 8 Бр кр17 1.00 2/3А 0.032ct
SP0182594;Подвеска 50-02-1000-10132;1,9;1,898;01.04.2016 0:00:00;1 Бр кр17 1.30 2/3А 0.008ct,
SP0181072;Подвеска 50-02-1000-10155;1,16;1,155;07.12.2015 0:00:00;3 Бр кр17 1.30 2/3А 0.024ct
SP0179157;Подвеска 50-02-1000-10171;0,84;0,833;30.06.2015 0:00:00;5 Бр кр17 1.20 3/4А 0.035ct
SP0182701;Подвеска 50-02-1000-10232;2,59;2,586;04.04.2016 0:00:00;1 Бр кр57 1.70 3/5А 0.018ct,
SP0181333;Подвеска 50-02-1000-10233;0,96;0,953;22.12.2015 0:00:00;7 Бр кр17 1.10 2/3А 0.035ct
SP0179769;Подвеска 50-02-1000-10772;3,44;3,428;14.09.2015 0:00:00;6 Бр кр17 1.40 3/4А 0.060ct
SP0172129;Подвеска 50-02-1000-11260;1,99;1,985;15.12.2014 0:00:00;5 Бр кр17 1.1 2/3А 0.025ct
SP0127482;Подвеска 50-02-1000-11340;0,77;0,757;11.02.2013 0:00:00;16 Бр кр17 0.9 2/3А 0.064ct,
SP0182688;Подвеска 50-02-1010-10042;2,69;2,031;04.04.2016 0:00:00;1 Жем белый кабашон 8.50*8.00 0.653, 3 Бр кр17 1.40 2/3А 0.030ct,
SP0178280;Подвеска 50-02-1010-10044;1,37;1,211;10.06.2015 0:00:00;1 Бр кр17 1.00 2/3А 0.004ct, 1 Бр кр17 1.20 2/3А 0.007ct, 1 Бр кр17 1.40 2/3А 0.010ct, 1 Жем белый круг диапз 5.00*4.50 0.155
SP0180562;Подвеска 50-02-1010-10047;1,69;1,417;16.11.2015 0:00:00;2 Бр кр17 1.10 2/3А 0.010ct, 2 Бр кр17 1.30 2/3А 0.016ct, 1 Жем белый круг диапз 6.00*5.50 0.268
SP0181451;Подвеска 50-02-1010-10176;1,24;1,018;21.12.2015 0:00:00;4 Бр кр57 2.00 3/5А 0.116ct, 1 Жем белый круг диапз 5.50*5.00 0.199
SP0180870;Подвеска 50-02-1010-10315;1,7;1,434;19.11.2015 0:00:00;2 Бр кр17 1.50 2/3А 0.026ct, 2 Бр кр17 1.20 2/3А 0.014ct, 1 Бр кр17 1.00 2/3А 0.004ct, 1 Жем белый круг диапз 6.00*5.50 0.257
SP0180869;Подвеска 50-02-1040-10041;2,2;1,94;19.11.2015 0:00:00;5 Бр кр17 1.10 2/3А 0.025ct, 3 Бр кр17 1.30 2/3А 0.024ct, 1 Жем черный круг диапз 6.00*5.50 0.250
SP0180563;Подвеска 50-02-1040-10045;2,12;1,64;16.11.2015 0:00:00;6 Бр кр17 1.10 2/3А 0.030ct, 1 Жем черный кабашон 7.50*7.00 0.474
SP0045889;Подвеска 50-02-1100-10006;1,62;1,485;13.12.2013 0:00:00;3 Бр кр57 1.3 3/5А 0.024ct, 1 топаз кр 3.0 0.130,
SP0180627;Подвеска 50-02-1100-10010;1,48;1,444;16.11.2015 0:00:00;12 Бр кр17 1.00 2/2А 0.048ct, 1 Топаз круг 3.00 0.026
SP0178593;Подвеска 50-02-1100-10036;2,51;2,166;17.06.2015 0:00:00;18 Бр кр17 1.00 2/3А 0.072ct, 1 Топаз круг 7.00 0.330
SP0178279;Подвеска 50-02-1100-10059;1,53;1,345;10.06.2015 0:00:00;1 Бр кр57 1.60 3/5А 0.016ct, 1 Бр кр57 1.50 3/5А 0.013ct, 1 Бр кр57 1.20 3/5А 0.007ct, 1 Бр кр57 1.90 3/5А 0.025ct, 1 Топаз овал 7.00*5.00 0.173
SP0164875;Подвеска 50-02-1100-10319;2,62;1,791;12.09.2014 0:00:00;20 Бр кр17 1.3 2/3А 0.160ct, 1 топаз ов 11.0*9.0 0.797,
SP0177625;Подвеска 50-02-1200-10059;1,5;1,294;27.05.2015 0:00:00;1 Бр кр57 1.80 3/5А 0.022ct, 1 Бр кр57 1.50 3/5А 0.013ct, 1 Бр кр57 1.40 3/5А 0.010ct, 1 Бр кр57 1.20 3/5А 0.007ct, 1 Гранат овал 7.00*5.00 0.196
SP0178807;Подвеска 50-02-1300-10059;1,57;1,42;26.06.2015 0:00:00;2 Бр кр57 1.60 3/5А 0.032ct, 1 Бр кр57 1.50 3/5А 0.013ct, 1 Бр кр57 1.20 3/5А 0.007ct, 1 Раух-топаз овал 7.00*5.00 0.140
SP0183057;Подвеска 50-02-1300-13239;1,73;1,396;26.04.2016 0:00:00;11 Бр кр17 0.70 2/3А 0.022ct, 1 Раух-топаз маркиз 12.00*6.00 0.330,
SP0177771;Подвеска 50-02-1400-10010;1,45;1,418;01.06.2015 0:00:00;12 Бр кр57 1.00 3/5А 0.048ct, 1 Аметист круг 3.00 0.022
SP0181396;Подвеска 50-02-1400-10059;1,45;1,307;22.12.2015 0:00:00;1 Бр кр57 1.80 3/5А 0.022ct, 1 Бр кр57 1.60 3/5А 0.016ct, 1 Бр кр57 1.50 3/5А 0.013ct, 1 Бр кр57 1.20 3/5А 0.007ct, 1 Аметист овал 7.00*5.00 0.131
SP0166159;Подвеска 50-02-1400-12660;0,55;0,473;03.10.2014 0:00:00;1 Аметист круг 4.5 0.076, 6 Бр кр57 0.6 3/5А 0.006ct,
SP0177964;Подвеска 50-02-1500-10010;1,54;1,505;04.06.2015 0:00:00;12 Бр кр17 1.00 2/2А 0.048ct, 1 Хризолит круг 3.00 0.025
SP0170814;Подвеска 50-02-1600-10059;1,68;1,539;28.11.2014 0:00:00;1 Бр кр17 1.6 2/3А 0.016ct, 1 Бр кр17 1.2 2/3А 0.007ct, 1 Бр кр17 1.5 2/3А 0.013ct, 1 Бр кр17 1.9 2/3А 0.025ct, 1 цит ов 7.0*5.0 0.129
SP0182100;Подвеска 50-02-1L00-10059;1,68;1,48;03.03.2016 0:00:00;1 Бр кр17 1.60 2/3А 0.016ct, 1 Бр кр17 1.30 2/3А 0.008ct, 1 Бр кр17 1.50 2/3А 0.013ct, 1 Бр кр17 1.90 2/3А 0.025ct, 1 Топаз London овал 7.00*5.00 0.188
SP0145690;Подвеска 51-02-1000-11804;2,23;2,184;18.11.2013 0:00:00;58 Бр кр17 0.9 2/3А 0.232ct
SP0178717;Серьги 10-02-1000-10332;3,69;3,677;24.06.2015 0:00:00;4 Бр кр57 1.00 3/5А 0.016ct, 4 Бр кр57 1.20 3/5А 0.028ct, 2 Бр кр57 1.40 3/5А 0.020ct
SP0154685;Серьги 10-02-1000-10354;1,88;1,874;20.03.2014 0:00:00;6 Бр кр17 1.1 2/3А 0.030ct,
SP0168661;Серьги 10-02-1000-10397;3,47;3,458;31.10.2014 0:00:00;6 Бр кр17 1.1 2/3А 0.030ct, 4 Бр кр17 1.2 2/3А 0.028ct,
SU0048843;Серьги 10-02-1000-11284;2,97;2,951;18.10.2012 0:00:00;6 Бр кр57 1.6 5/4А 0.096ct,
SP0172083;Серьги 10-02-1000-11342;3,73;3,672;15.12.2014 0:00:00;72 Бр кр17 0.9 2/3А 0.288ct
SP0030511;Серьги 10-02-1000-11411;2,66;2,65;27.02.2013 0:00:00;6 Бр кр57 1.3 3/5А 0.048ct,
SP0182544;Серьги 10-02-1010-10042;6,14;4,84;31.03.2016 0:00:00;2 Жем белый кабашон 8.50*8.00 1.290, 6 Бр кр17 1.30 2/3А 0.048ct,
SP0182230;Серьги 10-02-1010-10044;2,76;2,409;10.03.2016 0:00:00;6 Бр кр17 1.10 2/3А 0.030ct, 2 Жем белый круг диапз 5.00*4.50 0.345
SP0181292;Серьги 10-02-1010-10045;4,1;3,37;21.12.2015 0:00:00;2 Жем белый кабашон 7.50*7.00 0.720, 12 Бр кр17 1.00 2/3А 0.048ct
SP0180570;Серьги 10-02-1010-10315;4,17;3,64;16.11.2015 0:00:00;8 Бр кр17 1.35 2/3А 0.072ct, 2 Бр кр17 1.20 2/3А 0.014ct, 2 Жем белый круг диапз 6.00*5.50 0.513
SP0182004;Серьги 10-02-1010-12687;4,04;2,732;09.02.2016 0:00:00;2 Жем белый кабашон 8.50*8.00 1.297, 14 Бр кр17 1.00 2/3А 0.056ct
SP0179810;Серьги 10-02-1100-10058;4,92;4,584;15.09.2015 0:00:00;12 Бр кр17 1.30 2/3А 0.096ct, 8 Бр кр17 1.00 2/3А 0.032ct, 2 Топаз квадрат 5.00*5.00 0.310
SP0181441;Серьги 10-02-1200-10058;4,74;4,394;21.12.2015 0:00:00;20 Бр кр17 1.20 2/2А 0.140ct, 2 Гранат квадрат 5.00*5.00 0.318
SP0182006;Серьги 10-02-1300-10175;3,84;3,674;09.02.2016 0:00:00;2 Бр кр17 2.20 2/2А 0.078ct, 2 Раух-топаз груша 6.00*4.00 0.150
SP0180625;Серьги 10-02-1400-10492;2,09;2,008;16.11.2015 0:00:00;16 Бр кр17 1.20 2/3А 0.112ct, 2 Аметист круг 3.50 0.060
SP0182655;Серьги 10-02-1500-11219;2,36;2,326;04.04.2016 0:00:00;1 Хризолит круг 2.00 0.007, 6 Бр кр57 1.30 4/3А 0.048ct, 1 Хризолит круг 2.00 0.017
SP0181005;Серьги 10-02-8500-10334;2,32;2,212;02.12.2015 0:00:00;20 Бр кр57 1.00 3/5А 0.080ct, 20 Из  круг 1.00 3/3 0.060ct, 2 Хризолит овал 4.00*3.00 0.080,
SP0181897;Серьги 11-02-1000-10349;2,35;2,329;27.01.2016 0:00:00;26 Бр кр17 0.90 2/3А 0.104ct
